htid,year,bib_fmt,stratum,title,description
uc1.$b174456,1944,BK,book,"""And pass the ammunition,"" by Chaplain Howell M. Forgy ... edited by Jack S. McDowell.",
mdp.39015026651730,1965,BK,book,"""I saw you from afar""; a visit to the Bushmen of the Kalahari Desert / [by] Carol Morse Perkins and Marlin Perkins.",
uc1.$b326480,1965,BK,book,"""I saw you from afar""; a visit to the Bushmen of the Kalahari Desert / [by] Carol Morse Perkins and Marlin Perkins.",
txu.059173026932970,1971,BK,book,"""With his pistol in his hand"", a border ballad and its hero / by Américo Paredes.",
mdp.39015020715093,1958,BK,book,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059173026932960,1958,BK,book,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059173026932959,1958,BK,book,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059173006126527,1958,BK,book,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059172013118848,1958,BK,book,"""With his pistol in his hand,"" : a border ballad and its hero.",
uc1.b3773893,1958,BK,book,"""With his pistol in his hand,"" : a border ballad and its hero.",
coo.31924002886079,1953,BK,book,1. Some factors for the development of color in potato chips. 2. Some observations on the browning reaction at a relatively extreme temperature.,
uc1.b3179423,1978,BK,book,"20th-century foreign women writers / Martha O'Nan, ed. ; articles by Evelyne Accad ... [et al.] ; poems by Edith Södergran, Barbara Clarke Mossberg.",
uc1.32106005768525,1952,BK,book,"3: This gun for hire, The confidential agent, The ministry of fear.",
uiug.30112029124283,1959,BK,book,"4 from the circle : short stories and poems : reprinted from Der Kreis (The Circle), Zurich / original drawings by J. Colton.",
pst.000029169429,1974,BK,book,"75 years with the shotgun : an expert hunter and trapshooter shares experiences of a lifetime / by C. T. ""Buck"" Buckman.",
mdp.39015030947769,1974,BK,book,A Browning calendar / edited by Constance M. Spender.,
mdp.39015024865670,1935,BK,book,A Browning handbook / by William Clyde DeVane.,
mdp.39015000225733,1955,BK,book,A Browning handbook.,
mdp.39015002240292,1955,BK,book,A Browning handbook.,
uc1.b3489664,1955,BK,book,A Browning handbook.,(copy 1)
mdp.39015047545184,1970,BK,book,A Browning primer / With an introd. by F. J. Furnivall.,
uc1.$b112665,1937,BK,book,"A Christmas book from the Department of English, Hunter College of the city of New York. Edited by Blanche Colton Williams, head of the department.",
nyp.33433112018134,1937,BK,book,"A Christmas book from the Department of English, Hunter College of the city of New York. Edited by Blanche Colton Williams, head of the department.",---
mdp.39015031307401,1940,BK,book,A Tennyson Browning association book / by J. Christian Bay.,
nyp.33433044912586,1961,BK,book,A beginner's book of sporting guns and hunting.,
mdp.39015011819441,1967,BK,book,A bibliography of Elizabeth Barrett Browning.,
uc1.$b141137,1970,BK,book,"A bibliography of dissertations in geography, 1901 to 1969: American and Canadian universities [by] Clyde E. Browning.",
uiug.30112106624940,1970,BK,book,"A carbon dioxide reduction unit using Bosch reaction and expendable catalyst cartridges, by R.F. Holmes, E.E. Keller, and C.D. King.",
inu.32000014447231,1974,BK,book,"A ceremonial cave in the Winchester Mountains, Arizona. [by] William Shirley Fulton.  Dragoon, Arizona, The Amerind Foundation, 1941.",
dul1.ark:/13960/t3qv6bg3w,1953,BK,book,"A church history, by Charles Jerome Huneycutt; and, A fragmentary history of Pleasant Green Methodist Episcopal Church, South, Durham Circuit, Durham District, North Carolina Conference, by Alan Browning.",
mdp.39015023930590,1964,BK,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,
mdp.39015034563588,1964,BK,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,
uc1.$b680080,1964,BK,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,
uc1.b4456988,1964,BK,book,A classified bibliography of argumentation and debate / by Arthur N. Kruger.,
mdp.39015004693787,1966,BK,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,
mdp.39015002197740,1966,BK,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,
mdp.39015004730175,1966,BK,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,
umn.319510016040689,1966,BK,book,A commentary upon Browning's The ring and the book / by A.K. Cook.,
uc1.32106001926390,1976,BK,book,"A critical edition of Robert Browning's ""Bishop Blougram's Apology"" / by Frank Charles Allen.",
uc1.31822011582673,1977,BK,book,A day with Elizabeth Barrett Browning / by May Byron,
mdp.49015000545575,1970,BK,book,"A deal in wheat, and other stories of the new and old West / Illustrated by Remington [and others] New York, Doubleday, Page, 1903.",
mdp.39015064857389,1942,BK,book,A dramatic arrangement of Browning's Paracelsus.,
osu.32435021937891,1942,BK,book,A dramatic arrangement of Browning's Paracelsus.,v.45:no.1 1942
ien.35556021319082,1964,BK,book,A framework for balanced transportation planning in metropolitan regions / by Pieter Willem Bingle Kruger.,
mdp.39015014855665,1967,BK,book,A group of English essayists of the early nineteenth century / by C.T. Winchester.,
mdp.49015000554353,1967,BK,book,A group of English essayists of the early nineteenth century / by C.T. Winchester.,
uc1.b4306513,1967,BK,book,A group of English essayists of the early nineteenth century / by C.T. Winchester.,
uc1.b3970931,1966,BK,book,A guide to reading in American history; the unit approach [by] Herbert Herskowitz and Bernard Marlin.,
uc1.$b451592,1972,BK,book,"A gun play; a play, by Yale M. Udoff.",
inu.32000007704671,1969,BK,book,A handbook to the works of Robert Browning / by Mrs. Sutherland Orr.,
umn.31951000792477l,1942,BK,book,A history of Browning guns from 1831.,
uc1.31175006806882,1965,BK,book,"A history of Spanish firearms, by James D. Lavin.",
mdp.39015046330349,1936,BK,book,A history of firearms / by Major H. B. C. Pollard ... with forty-one half-tone and line plates.,
mdp.39015000947021,1955,BK,book,"A history of firearms, from earliest times to 1914.",
uva.x001607978,1947,BK,book,"A history of the Presbytery of Winchester (Synod of Virginia): its rise and growth, ecclesiastical relations, institutions and agencies, churches and ministers, 1719-1945. / Based on official documents. ; By Robert Bell Woodworth, D.Sc.",
wu.89067534065,1947,BK,book,"A history of the Presbytery of Winchester (Synod of Virginia): its rise and growth, ecclesiastical relations, institutions and agencies, churches and ministers, 1719-1945. / Based on official documents. ; By Robert Bell Woodworth, D.Sc.",
mdp.39015000063944,1971,BK,book,A history of the modern world / [by] R. R. Palmer [and] Joel Colton.,
mdp.39015007180493,1965,BK,book,A history of the modern world / by R. R. Palmer and Joel Colton.,
mdp.39015025029060,1971,BK,book,A history of the modern world since 1815 / [by] R. R. Palmer [and] Joel Colton.,
wu.89031315195,1970,BK,book,"A horse named Kelso, by Pat Johnson and Walter D. Osborne.  Introd. by Mrs. Richard C. Dupont. Illustrated with Richard Stone Reeves'  paintings.",
mdp.39015079889120,1967,BK,book,"A list of doctoral dissertations on Australia, covering 1933/34 through 1964/65; Canada, covering 1933/34 through 1964/65; New Zealand, covering 1933/34 through 1964/65 / Compiled by Doris M. Cruger.",
inu.32000003250869,1971,BK,book,"A phrase book from the poetic and dramatic works of Robert Browning, to which is added an index containing the significant words not elsewhere noted.",
wu.89001267681,1970,BK,book,"A primer on Browning, by F. Mary Wilson.",
uva.x000212633,1976,BK,book,A season in the life of Emmanuel / Marie-Claire Blais. Translated from the French by Derek Coltman. Introduction by Edmund Wilson.,
mdp.39015031305710,1971,BK,book,A study of Browning's The ring and the book / by James Cassidy (E. M. Story),
umn.31951d01549911a,1978,BK,book,A study of owners of small timber tracts in Louisiana / Clifton B. Marlin.,
uiug.30112019600730,1978,BK,book,A study of owners of small timber tracts in Louisiana / Clifton B. Marlin.,v.710(1978)
coo.31924004439331,1944,BK,book,A study of specifications of a factory to manufacture ten thousand .50 caliber machine-gun mountings per month.,
uiug.30112113048893,1979,BK,book,A study of the applicability of batch reactor wastewater treatment for areas of intermittent loading / by James E. Alleman and Joanne S. Colt.,
umn.31951001986557n,1950,BK,book,A study of the browning of bread on storage.,
coo.31924014098606,1943,BK,book,A study of the experimental neurosis in dogs. A. The identification of gun-shyness with the experimental neurosis. B. The effect of denervation of the adrenal glands on the manifestations of experimental neurosis.,
coo.31924004701250,1959,BK,book,A study of the thermionic point filament electron gun.,
coo.31924004105999,1951,BK,book,A study of two high current electron guns.,
mdp.39015039925329,1980,BK,book,A variorum edition of Elizabeth Barrett Browning's Sonnets from the Portuguese / by Miroslava Wein Dow.,
uva.x004211040,1964,BK,book,"A working model of the generating electric field meter : a technical progress report / submitted to Harry Diamond Laboratories, submitted by Harold D. Browning.",
mdp.39015000539471,1935,BK,book,About the murder of a startled lady : a Thatcher Colt detective mystery / by Anthony Abbot.,
uc1.$b104074,1935,BK,book,About the murder of a startled lady : a Thatcher Colt detective mystery / by Anthony Abbot.,
mdp.39015000539513,1933,BK,book,About the murder of the clergyman's mistress / by Anthony Abbot [pseudonym]; a Thatcher Colt detective mystery.,
nnc1.ar00006912,1960,BK,book,"Accessions, 1960 : exhibition, December 21, 1960 to February 18, 1961 / by the Wintherthur Corporation for the Corbit House, the Henry Francis Du Pont Winterthur Museum, the Waldron Phoenix Belknap, Jr. Research Library of American Painting ; [catalogue and exhibition designed by Donald D. MacMillan",
mdp.39015003712455,1950,BK,book,"Acetylene, homologs and derivatives / by Pierre Piganiol. Preface by G. Dupont. Translated from the 2d rev. ed. by Frederick A. Hessel and John B. Rust.",
umn.31951d00635783k,1940,BK,book,Advanced gunsmithing.,
uiug.30112050047825,1940,BK,book,"Advanced gunsmithing; a manual of instruction in the manufacture, alteration and repair of firearms in-so-far as the necessary metal work with hand and machine tools is concerned, with chapters on the boring, rifling and chambering of barrels, for amateur and professional gunsmiths, by W. F. Vickery",
osu.32437122129857,1979,BK,book,"Advancing your citizenship : an advocacy manual for persons with disabilities / Anita Crosson, Philip Browning, Robert E. Krambs.",
osu.32437122180371,1980,BK,book,"Advancing your citizenship : an annotated bibliography on consumerism/advocacy for persons with disabilities / Philip Browning, Cindy Rhoades, Anita Crosson.",
osu.32437122131465,1980,BK,book,"Advancing your citizenship : essays on consumer involvement of the handicapped / Philip Browning, Cindy Rhoades, Anita Crosson.",
mdp.39015000520398,1968,BK,book,"Adversity and grace; studies in recent American literature / by Preston M. Browning, Jr. [and others] Edited by Nathan A. Scott, Jr.",
mdp.39015005388080,1976,BK,book,Aeolian harps : essays in literature in honor of Maurice Browning Cramer / edited by Donna G. Fricke and Douglas C. Fricke.,
mdp.39015020847771,1945,BK,book,"Against these three : a biography of Paul Kruger, Cecil Rhodes, and Lobengula, last king of the Matabele / Stuart Cloete ; illustrated with maps and ports. by Roland Cosimini.",
uc1.$b303759,1945,BK,book,"Against these three : a biography of Paul Kruger, Cecil Rhodes, and Lobengula, last king of the Matabele / Stuart Cloete ; illustrated with maps and ports. by Roland Cosimini.",
ufl.31262001451250,1945,BK,book,"Against these three, a biography of Paul Kruger, Cecil Rhodes, and Lobengula, last king of the Matabele illustrated with maps and portraits by Roland Cosimini.",
mdp.39076005656116,1947,BK,book,"Against these three, a biography of Paul Kruger, Cecil Rhodes, and Lobengula, last king of the Matabele.",
uva.x000157445,1974,BK,book,Aging in America / Bert Kruger Smith.,
uiug.30112101465059,1956,BK,book,Air-guns and air-pistols.,
mdp.39015002250275,1975,BK,book,Alexander Bestuzhev-Marlinsky / by Lauren G. Leighton.,
mdp.39015051361478,1941,BK,book,"Alfred I. DuPont, the family rebel / by Marquis James ...",
uc1.b4986950,1941,BK,book,"Alfred I. DuPont, the family rebel / by Marquis James ...",
mdp.39015041025902,1943,BK,book,"All-out Arlene, a story of the girls behind the boys behind the guns / with pictures by Herbert Roese.",
wu.89066129784,1976,BK,book,America's religious treasures : a spiritual heritage travel guide / text by Marion Rawson Vuilleumier ; ill. by Pierre DuPont Vuilleumier.,
nyp.33433009108980,1947,BK,book,"American firearms : an histology of American gunsmiths, arms manufacturers & patentees with detailed description of their arms / by Stephen Van Rensselaer.",
nyp.33433009108857,1947,BK,book,"American firearms : an histology of American gunsmiths, arms manufacturers & patentees with detailed description of their arms / by Stephen Van Rensselaer.",suppl.
uc1.l0068308584,1962,BK,book,American firearms and the changing frontier. Written for the Eastern Washington State Historical Society. Drawings by Ronald Kuhler.,
mdp.39015021651719,1953,BK,book,"American firearms makers : when, where, and what they made, from the Colonial period to the end of the nineteenth century / A. Merwyn Carey.",
uiug.30112066316800,1939,BK,book,"American furniture & English pieces : Remington bronze : Mounted trapper : America historical chintzes, paintings and prints : Staffordshire, Oriental Lowestoft, Chelsea and other English porcelains : property of Mrs. Joseph H. Holmes ; Mrs. Alexander Moro ; a New York private collector and other ow",
mdp.39015031700001,1952,BK,book,"American furniture, Queen Anne and Chippendale periods, in the Henry Francis du Pont Winterthur Museum / by Joseph Downs. Foreword by Henry Francis du Pont.",
uva.x006146640,1978,BK,book,"American furniture, the Federal period : in the Henry Francis du Pont Winterthur Museum / by Charles F. Montgomery ; foreword by Henry Francis du Pont ; with photos. by Gilbert Ask.",
mdp.39015031700266,1966,BK,book,"American furniture, the Federal period, in the Henry Francis du Pont Winterthur Museum / by Charles F. Montgomery. Foreword by Henry Francis du Pont. With photos. by Gilbert Ask.",
mdp.49015001227405,1966,BK,book,"American furniture, the Federal period, in the Henry Francis du Pont Winterthur Museum / by Charles F. Montgomery. Foreword by Henry Francis du Pont. With photos. by Gilbert Ask.",
inu.30000001706724,1966,BK,book,"American furniture, the Federal period, in the Henry Francis du Pont Winterthur Museum / by Charles F. Montgomery. Foreword by Henry Francis du Pont. With photos. by Gilbert Ask.",
osu.32435077073567,1963,BK,book,"American paintings and drawings : Calder, Davis, Evergood, Glackens, Gwathmey, Inness, Kline, Kuniyoshi, Lawson, Luks, Marsh, Matta, Motherwell, Remington, Rice-Pereria, Shinn, M. and R. Soyer, Tamayo, Twachtman  : sculptures by Baker, Gross and Hebald : public auction, Wednesday, October 9.",
pst.000029330164,1978,BK,book,American pistol & revolver design and performance / L. R. Wallack.,
