htid,year,bib_fmt,stratum,tier,ef_genre,title,description
uc1.$b174456,1944,BK,book,book,doc,"""And pass the ammunition,"" by Chaplain Howell M. Forgy ... edited by Jack S. McDowell.",
txu.059173026932970,1971,BK,book,book,"doc,bib,gov","""With his pistol in his hand"", a border ballad and its hero / by Américo Paredes.",
mdp.39015020715093,1958,BK,book,book,doc,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059173026932960,1958,BK,book,book,doc,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059173026932959,1958,BK,book,book,doc,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059173006126527,1958,BK,book,book,doc,"""With his pistol in his hand,"" : a border ballad and its hero.",
txu.059172013118848,1958,BK,book,book,doc,"""With his pistol in his hand,"" : a border ballad and its hero.",
uc1.b3773893,1958,BK,book,book,doc,"""With his pistol in his hand,"" : a border ballad and its hero.",
uc1.32106005768525,1952,BK,book,book,doc,"3: This gun for hire, The confidential agent, The ministry of fear.",
pst.000029169429,1974,BK,book,book,doc,"75 years with the shotgun : an expert hunter and trapshooter shares experiences of a lifetime / by C. T. ""Buck"" Buckman.",
nyp.33433044912586,1961,BK,book,book,doc,A beginner's book of sporting guns and hunting.,
uc1.$b451592,1972,BK,book,book,doc,"A gun play; a play, by Yale M. Udoff.",
umn.31951000792477l,1942,BK,book,book,doc,A history of Browning guns from 1831.,
uc1.31175006806882,1965,BK,book,book_unknown_genre,,"A history of Spanish firearms, by James D. Lavin.",
mdp.39015046330349,1936,BK,book,book,doc,A history of firearms / by Major H. B. C. Pollard ... with forty-one half-tone and line plates.,
mdp.39015000947021,1955,BK,book,book,doc,"A history of firearms, from earliest times to 1914.",
coo.31924004439331,1944,BK,book,book_unknown_genre,,A study of specifications of a factory to manufacture ten thousand .50 caliber machine-gun mountings per month.,
coo.31924014098606,1943,BK,book,book,doc,A study of the experimental neurosis in dogs. A. The identification of gun-shyness with the experimental neurosis. B. The effect of denervation of the adrenal glands on the manifestations of experimental neurosis.,
umn.31951d00635783k,1940,BK,book,book,doc,Advanced gunsmithing.,
uiug.30112050047825,1940,BK,book,book,doc,"Advanced gunsmithing; a manual of instruction in the manufacture, alteration and repair of firearms in-so-far as the necessary metal work with hand and machine tools is concerned, with chapters on the boring, rifling and chambering of barrels, for amateur and professional gunsmiths, by W. F. Vickery",
uiug.30112101465059,1956,BK,book,book_unknown_genre,,Air-guns and air-pistols.,
mdp.39015041025902,1943,BK,book,book_fiction,"doc,fic","All-out Arlene, a story of the girls behind the boys behind the guns / with pictures by Herbert Roese.",
nyp.33433009108980,1947,BK,book,book_unknown_genre,,"American firearms : an histology of American gunsmiths, arms manufacturers & patentees with detailed description of their arms / by Stephen Van Rensselaer.",
nyp.33433009108857,1947,BK,book,book_unknown_genre,,"American firearms : an histology of American gunsmiths, arms manufacturers & patentees with detailed description of their arms / by Stephen Van Rensselaer.",suppl.
uc1.l0068308584,1962,BK,book,book,doc,American firearms and the changing frontier. Written for the Eastern Washington State Historical Society. Drawings by Ronald Kuhler.,
mdp.39015021651719,1953,BK,book,book,doc,"American firearms makers : when, where, and what they made, from the Colonial period to the end of the nineteenth century / A. Merwyn Carey.",
uiug.30112066316800,1939,BK,book,book,doc,"American furniture & English pieces : Remington bronze : Mounted trapper : America historical chintzes, paintings and prints : Staffordshire, Oriental Lowestoft, Chelsea and other English porcelains : property of Mrs. Joseph H. Holmes ; Mrs. Alexander Moro ; a New York private collector and other ow",
pst.000029330164,1978,BK,book,book,doc,American pistol & revolver design and performance / L. R. Wallack.,
pst.000029330607,1977,BK,book,book,doc,American rifle design and performance / L. R. Wallack.,
uiug.30112061061146,1970,BK,book,book,"doc,sta","Ammunition production for Vietnam: impact on southeast Kansas; final report, by Bruce W. Macy, Robert E. Roberts [and] Patricia Quinlan.",
mdp.39015013353613,1970,BK,book,book,"doc,sta","Ammunition production for Vietnam: impact on southeast Kansas; final report, by Bruce W. Macy, Robert E. Roberts [and] Patricia Quinlan.",
uc1.b4498349,1943,BK,book,book,doc,"Ammunition; its history, development and use, 1600 to 1943 -.22 BB cap to 20 mm. shell, by Melvin M. Johnson and Charles T. Haven.",
uc1.b4097614,1952,BK,book,book,doc,"Annie get your gun, as a straight play without music. Based on the original musical play; music and lyrics by Irving Berlin; book by Dorothy and Herbert Fields; original version produced on Broadway by Richard Rodgers and Oscar Hammerstein II.",
nyp.33433016123055,1952,BK,book,book_fiction,"doc,fic",Annie get your gun; a musical play in two acts. Music and lyrics by Irving Berlin; book by Herbert and Dorothy Fields.,
uva.x001496801,1960,BK,book,book,doc,Antique guns / by Hank Wieand Bowman ; edited by Lucian Cary.,
mdp.39015001052805,1953,BK,book,book,doc,Antique guns / by Hank Wieand Bowman and Lucian Cary.,
mdp.39076005891598,1977,BK,book,book,doc,"Antique guns in color, to 1865 / Robert Wilkinson-Latham ; special photography by John Searle Austin ; color paintings and line drawings by Peter Sarson and Tony Bryan.",
uiug.30112113418088,1941,BK,book,book,doc,"Artillery ammunition manufacture, by Arthur B. Guise and J.S. Slicer, Jr. ...",
umn.31951000486017q,1958,BK,book,book,doc,Automatic and repeating shotguns.,
uc1.c086241893,1937,BK,book,book,doc,"Automatic pistol marksmanship, by William Reichenbach; illustrations by Richard Kroth and Edwin Bender.",
uiug.30112106688481,1967,BK,book,book,"doc,bib","Ballistic limit of aluminum plates determined by an exploding foil gun technique / Emilio Alfaro-Bou, Robert G. Thomson.",
uva.x001240484,1957,BK,book,book,"doc,bib,bio","Ben Thompson, man with a gun. With an introd. by William F. Kelleher.",
wu.89059496869,1964,BK,book,book,doc,"Bible in pocket, gun in hand; the story of frontier religion.",
mdp.39015027952566,1972,BK,book,book,doc,"Bible in pocket, gun in hand; the story of frontier religion.",
uva.x000175317,1980,BK,book,book,"doc,bib","Big gun monitors : the history of the design, construction, and operation of the Royal Navy's monitors / Ian Buxton.",
mdp.39015071240124,1979,BK,book,book,doc,"Bitter harvest : hunting in America. Book 1, The guns of Gaylord / by John G. Mitchell.",
uc1.$b808866,1969,BK,book,book_fiction,"doc,fic","Blind man with a pistol, by Chester Himes.",
mdp.39015020751197,1969,BK,book,book_fiction,"doc,fic","Blind man with a pistol, by Chester Himes.",
pst.000027384688,1967,BK,book,book,doc,Book of shotgun sports / by the editors of Sports illustrated. [Text by Virginia Kraft.,
mdp.39015004522952,1977,BK,book,book,doc,"Brassey's artillery of the world : guns, howitzers, mortars, guided weapons, rockets, and ancillary equipment in service with the regular and reserve forces of all nations / editor, Brigadier Shelford Bidwell ; co-authors, compilers, and consultants, Brian Blunt, Tolley Taylor.",
uc1.31822013022298,1973,BK,book,book,"doc,bib,cat",Browning music; a descriptive catalog of the music related to Robert Browning and Elizabeth Barrett Browning in the Armstrong Browning Library: 1972,
nyp.33333219776040,1961,BK,book,book,"doc,bib","Browning, world's greatest gunmaker. With sketches by the author.",
mdp.39015030947066,1960,BK,book,book_fiction,"doc,fic",Burma rifles; a story of Merrill's Marauders.,
nyp.33433006950129,1948,BK,book,book,doc,"Cartridges, a pictorial digest of small arms ammunition, by Herschel C. Logan.",
mdp.39015030948171,1966,BK,book,book,"doc,bib",Catalogue of the Browning collection / compiled by Warner Barnes.,
coo.31924032876173,1965,BK,book,book,doc,"Cavalry tactics : single rank formations and skirmish drill for mounted rifles. For the instruction of the forces of the Confederate States, in the Department of Indian Territory.",
umn.31951t00251349k,1948,BK,book,book,doc,Center fire metric pistol and revolver cartridges / by Henry P. White and Burton D. Munhall ; drawings by Henry P. White.,
uva.x000129338,1974,BK,book,book,doc,Challenge of youth / Friedrich Heer ; [translated from the German by Geoffrey Skelton ; picture research by Gun Brinson].,
umn.31951001836141j,1974,BK,book,book,doc,Challenge of youth / Friedrich Heer ; [translated from the German by Geoffrey Skelton ; picture research by Gun Brinson].,
uiug.30112122615096,1980,BK,book,book,"doc,bib,gov",Characteristics of shotgun shells used for hunting ducks in Illinois / William L. Anderson.,
pst.000051340674,1955,BK,book,book,doc,Churchill's shotgun book : a guide to the successful use of the smooth-bored game gun / by Robert Churchill ; foreword by MacDonald Hastings.,
mdp.39076006566942,1962,BK,book,book,"doc,bib","Civil War guns; the complete story of Federal and Confederate small arms: design, manufacture, identification, procurement, issue, employment, effectiveness, and postwar disposal.",
inu.39000005874727,1961,BK,book,book,doc,Collectors & collections : the Antiques anniversary book  / Edited by Alice Winchester and the staff of Antiques magazine.,
mdp.35128000300036,1975,BK,book,book,doc,"College professoring : or, Through academia with gun and camera / by Oliver P. Kolstoe ; illustrated by Don Paul Benjamin.",
mdp.39015034657364,1959,BK,book,book,doc,"Colt : a collection of letters and photographs about the man, the arms, the company.",
uiug.30112129280407,1946,BK,book,book_unknown_genre,,Commonsense shotgun shooting with Fred Etchen; an introduction by Nash Buckingham.,
pst.000018146783,1970,BK,book,book,"doc,bib","Complete book of the air gun / [by] George C. Nonte, Jr.",
nyp.33433008594230,1940,BK,book,book_unknown_genre,,"Complete tactics, infantry rifle battalion; consisting of the entire new infantry field manual (FM 7-5) together with the tactical portions of new basic field manuals on individual infantry weapons and the new tables of organization.",
mdp.39015009054944,1979,BK,book,book,"doc,gov",Concealed weapons and firearms laws.,
coo.31924003565391,1952,BK,book,book,"doc,bib,cpb","Contributions of browning research to ration item stability; a conference on the status of browning reaction research and a review of its contributions to stabilized packaged rations, held 1 February 1952 at the Quartermaster Food and Container Institute for the Armed Forces, Chicago, Illinois, Rese",
rul.39030016346092,1955,BK,book,book,doc,Custom built rifles.,
pst.000027679418,1973,BK,book,book,"doc,bib",Deer hunting : tactics and guns for hunting all North American deer.,
coo.31924000572879,1976,BK,book,book,"doc,sta","Deer production in the United States, 1969-1973 : analysis and interpretation of data relating to deer and deer hunters, including pre- and post-hunt estimates by species, bow and firearms hunter numbers, and the dollar value of the deer meat taken in all of the 50 states / by Sidney W. Wilcox.",
uiug.30112106609701,1970,BK,book,book,doc,"Developing the critical combat performance required of the infantry rifle platoon leader, by Frank L. Brown and T.O. Jacobs.",70-5 (Apr. 1970)
uc1.31822031033350,1967,BK,book,book,"doc,aut",Devil man with a gun / by Art H. Watson,
uiug.30112057304245,1955,BK,book,book_unknown_genre,,Dirt and doughfeet; combat experiences of a rifle-platoon leader.,
uva.x030765411,1939,BK,book,book,doc,Doctor Two-Guns / by Peter Field.,
